"line","env","label","text"
"104","theorem","thm:main_reduction","\begin{theorem}[Reduction to global $J$-contractivity]\label{thm:main_reduction}"
"180","definition","def:herglotz","\begin{definition}[Herglotz (Nevanlinna) function]\label{def:herglotz}"
"214","lemma","lem:W0","\begin{lemma}[The point $z=0$ is regular and $W(0)=1$]\label{lem:W0}"
"411","lemma","lem:W_unit_real","\begin{lemma}[Unit modulus on $\mathbb R$]\label{lem:W_unit_real}"
"455","lemma","lem:highline_contraction","\begin{lemma}[Uniform positivity of $\Im H$ on a high line]\label{lem:highline_contraction}"
"539","definition","def:bc_strip","\begin{definition}[Uniform Nevanlinna control on a strip]\label{def:bc_strip}"
"551","definition","def:strip_logderiv_energy","\begin{definition}[Strip log-derivative energy]\label{def:strip_logderiv_energy}"
"561","lemma","lem:no_pole_nevanlinna","\begin{lemma}[Log-derivative energy forbids interior zeros/poles]\label{lem:no_pole_nevanlinna}"
"608","definition","def:circle_hardy_energy","\begin{definition}[Circle Hardy negative-mode energy and the $b$-detector]\label{def:circle_hardy_energy}"
"627","lemma","lem:b_detector_gram","\begin{lemma}[Gram/Hankel form of the $b$-detector]\label{lem:b_detector_gram}"
"687","lemma","lem:hardy_pole_locator","\begin{lemma}[Hardy pole locator on a circle]\label{lem:hardy_pole_locator}"
"723","corollary","cor:b_detector","\begin{corollary}[$b$--detector functional]\label{cor:b_detector}"
"747","corollary","cor:circle_hardy_certificate","\begin{corollary}[Circle--Hardy certificate for zero-freeness]\label{cor:circle_hardy_certificate}"
"769","lemma","lem:bc_poisson_strip","\begin{lemma}[Reverse compression via the Smirnov maximum principle]\label{lem:bc_poisson_strip}"
"792","lemma","lem:W_bounded_characteristic","\begin{lemma}[Uniform Nevanlinna control for $W$ on strips]\label{lem:W_bounded_characteristic}"
"806","proposition","prop:W_strip_schur","\begin{proposition}[Schur bound on a strip via the circle--Hardy certificate]\label{prop:W_strip_schur}"
"827","proposition","prop:W_global_schur","\begin{proposition}[Global Schur bound on $\mathbb C_+$ via the circle--Hardy certificate]\label{prop:W_global_schur}"
"844","theorem","thm:reverse_RH","\begin{theorem}[Unconditional reverse-compression closure]\label{thm:reverse_RH}"
"899","theorem","thm:final_bridge_closed","\begin{theorem}[Passivity-to-detector closure and strip pole-exclusion]\label{thm:final_bridge_closed}"
"1031","definition","","\begin{definition}[Herglotz / Schur]"
"1037","lemma","lem:cayley_equiv","\begin{lemma}[Cayley: Herglotz $\Longleftrightarrow$ Schur]"
"1059","lemma","lem:pick_herglotz","\begin{lemma}[Pick kernel for Herglotz]"
"1099","lemma","lem:pick_schur","\begin{lemma}[Pick kernel for Schur {\normalfont(see e.g.\ \cite{agler_mccarthy2002})}]"
"1114","definition","","\begin{definition}[Hermite--Biehler and de Branges kernel]"
"1123","lemma","lem:schur_debranges","\begin{lemma}[Schur $\Longleftrightarrow$ de Branges kernel PSD {\normalfont(see \cite{debranges1968})}]"
"1148","theorem","thm:Lstar","\begin{theorem}[L$^\ast$: equivalence package]"
"1168","lemma","lem:no_zeros_from_herglotz","\begin{lemma}[Herglotz log-derivative forbids zeros in $\mathbb{C}_+$]"
"1180","corollary","cor:rh_from_Lstar","\begin{corollary}[RH from L$^\ast$]"
"1212","lemma","lem:energy_identity","\begin{lemma}[Energy identity / $J$-contractivity]\label{lem:energy_identity}"
"1241","corollary","cor:mobius_herglotz","\begin{corollary}[M\""obius update preserves Herglotz]\label{cor:mobius_herglotz}"
"1277","lemma","lem:polarized_J_kernel","\begin{lemma}[Polarized $J$-contractivity kernel]\label{lem:polarized_J_kernel}"
"1308","lemma","lem:discrete_lagrange_gram","\begin{lemma}[Discrete Lagrange identity / Gram sum]\label{lem:discrete_lagrange_gram}"
"1330","corollary","cor:pick_kernel_compression","\begin{corollary}[Finite Pick kernel as a compression]\label{cor:pick_kernel_compression}"
"1482","lemma","lem:canonical_trunc_detector0","\begin{lemma}[Canonical truncations have no negative modes on circles]\label{lem:canonical_trunc_detector0}"
"1517","lemma","lem:jet_consistency","\begin{lemma}[Jet consistency for the finite-section Schur recursion]\label{lem:jet_consistency}"
"1574","theorem","thm:ID_unconditional","\begin{theorem}[Identification by germ matching and circle-Hardy rigidity]\label{thm:ID_unconditional}"
"1623","corollary","cor:ID_assumptions_verified","\begin{corollary}[Internal verification of assumptions \textup{(I1)}--\textup{(I3)}]"
"1687","lemma","lem:R1-circle-eq","\begin{lemma}[Weyl circle equation]\label{lem:R1-circle-eq}"
"1729","lemma","lem:R1-membership","\begin{lemma}[Quadratic-form sign and disk membership]\label{lem:R1-membership}"
"1762","lemma","lem:R1-radius-formula","\begin{lemma}[Radius formula]\label{lem:R1-radius-formula}"
"1786","lemma","lem:R1-minimax","\begin{lemma}[Center form and minimax (minimum-error) bound]\label{lem:R1-minimax}"
"1825","corollary","cor:R1-minerr-conv","\begin{corollary}[Minimum-error convergence]\label{cor:R1-minerr-conv}"
"1840","lemma","lem:limit_point_unique_limit","\begin{lemma}[Limit-point collapse $\Rightarrow$ unique Herglotz limit (locally uniform)]\label{lem:limit_point_unique_limit}"
"1893","lemma","lem:R1-det1","\begin{lemma}[Unimodularity]\label{lem:R1-det1}"
"1914","lemma","lem:R1-detQ","\begin{lemma}[Fixed determinant of the Weyl circle matrix]\label{lem:R1-detQ}"
"1962","lemma","lem:R1_energy_coercive","\begin{lemma}[Energy-coercive criterion for Weyl-disk collapse]\label{lem:R1_energy_coercive}"
"2009","lemma","lem:R1_overlap_reduction","\begin{lemma}[Reduction of overlap bound to norm/angle bounds]\label{lem:R1_overlap_reduction}"
"2038","lemma","lem:R1_lagrange_identity_global","\begin{lemma}[Global Lagrange identity on truncations]\label{lem:R1_lagrange_identity_global}"
"2070","lemma","lem:R1_two_channel_trace_compare","\begin{lemma}[Two-channel trace comparison]\label{lem:R1_two_channel_trace_compare}"
"2116","lemma","lem:R1_rank1_transport_invariance","\begin{lemma}[Rank-one transport invariance]\label{lem:R1_rank1_transport_invariance}"
"2163","lemma","lem:R1_limit_circle_implies_finite_mass","\begin{lemma}[Limit-circle regime plus CS2 forces finite total mass]\label{lem:R1_limit_circle_implies_finite_mass}"
"2325","lemma","lem:R1_CS2_equiv","\begin{lemma}[Equivalent forms of CS2]\label{lem:R1_CS2_equiv}"
"2387","lemma","lem:R1_general_step_inverse_bound_sector","\begin{lemma}[General one-step inverse bound in the nonnegative-\texorpdfstring{$\Re(z^2)$}{Re(z^2)} sector]\label{lem:R1_general_step_inverse_bound_sector}"
"2462","corollary","cor:R1_CS2_tail_mass_window_sector","\begin{corollary}[Tail-window bound implies CS2 in the nonnegative-\texorpdfstring{$\Re(z_0^2)$}{Re(z0^2)} sector]\label{cor:R1_CS2_tail_mass_window_sector}"
"2504","lemma","lem:R1_rank1_step_linear","\begin{lemma}[Exact rank-one step linearization]\label{lem:R1_rank1_step_linear}"
"2537","lemma","lem:R1_rank1_mixed_factor","\begin{lemma}[Mixed rank-one factors and symplectic coupling]\label{lem:R1_rank1_mixed_factor}"
"2569","corollary","cor:R1_linear_tail_under_symplectic_orth","\begin{corollary}[Exact linear tail formula under pairwise symplectic orthogonality]\label{cor:R1_linear_tail_under_symplectic_orth}"
"2607","lemma","lem:R1_CS2_tail_mass_window","\begin{lemma}[Tail-mass window bound implies CS2]\label{lem:R1_CS2_tail_mass_window}"
"2667","corollary","cor:R1_kappa_tail_exp","\begin{corollary}[Universal exponential control of \texorpdfstring{$\kappa_{k,j}$}{kappa} by tail mass]\label{cor:R1_kappa_tail_exp}"
"2696","lemma","lem:R1_radiusfloor_kappa_bottleneck","\begin{lemma}[Radius-floor reduction to frame-growth bottleneck]\label{lem:R1_radiusfloor_kappa_bottleneck}"
"2797","corollary","cor:R1_kappa_lower_from_prefix","\begin{corollary}[Quantitative lower bound on frame growth from prefix mass]\label{cor:R1_kappa_lower_from_prefix}"
"2819","lemma","lem:R1_kappa_pointwise_tail_exp","\begin{lemma}[Pointwise exponential upper control of \texorpdfstring{$\kappa_{k,j}$}{kappa} by tail mass in the rank-one branch]\label{lem:R1_kappa_pointwise_tail_exp}"
"2869","corollary","cor:R1_Kj_prefix_equiv_rank1","\begin{corollary}[On a radius-floor rank-one subsequence, \texorpdfstring{$K_j$}{Kj} and prefix mass are equivalent growth scales]\label{cor:R1_Kj_prefix_equiv_rank1}"
"2909","corollary","cor:R1_CS2_equiv_Kj","\begin{corollary}[CS2 is exactly uniform boundedness of \texorpdfstring{$K_j$}{Kj}]\label{cor:R1_CS2_equiv_Kj}"
"2933","proposition","prop:R1_rank1_exact_closure_reduction","\begin{proposition}[Exact rank-one closure reduction on a radius-floor subsequence]\label{prop:R1_rank1_exact_closure_reduction}"
"2963","corollary","cor:R1_obstruction_certificate","\begin{corollary}[Obstruction certificate on a radius-floor subsequence]\label{cor:R1_obstruction_certificate}"
"2990","corollary","cor:R1_rank1_radiusfloor_dichotomy","\begin{corollary}[Rank-one radius-floor dichotomy]\label{cor:R1_rank1_radiusfloor_dichotomy}"
"3040","lemma","lem:R1_prefix_subsequence_divergence","\begin{lemma}[Prefix mass along subsequences under total-mass divergence]\label{lem:R1_prefix_subsequence_divergence}"
"3062","corollary","cor:R1_mass_divergence_selects_divergent_branch","\begin{corollary}[Under mass divergence, only the divergent branch can occur]\label{cor:R1_mass_divergence_selects_divergent_branch}"
"3083","corollary","cor:R1_rank1_closure_excludes_radiusfloor","\begin{corollary}[Rank-one mass-divergence excludes radius-floor subsequences]\label{cor:R1_rank1_closure_excludes_radiusfloor}"
"3099","lemma","lem:R1_Jform_not_CS2","\begin{lemma}[Bounded \texorpdfstring{$J$}{J}-form does not force CS2]\label{lem:R1_Jform_not_CS2}"
"3136","remark","rem:R1_CS2_bottleneck_genuine","\begin{remark}[Why the CS2 bottleneck is genuine]\label{rem:R1_CS2_bottleneck_genuine}"
"3146","corollary","cor:R1_bounded_Kj_implies_finite_mass","\begin{corollary}[Radius-floor plus bounded \texorpdfstring{$K_j$}{Kj} implies finite mass]\label{cor:R1_bounded_Kj_implies_finite_mass}"
"3171","lemma","lem:R1_tailwindow_direct_finite_mass","\begin{lemma}[Prefix-mass bound directly forces finite total mass]\label{lem:R1_tailwindow_direct_finite_mass}"
"3189","lemma","lem:R1_tailwindow_prefix_equiv","\begin{lemma}[Tail-window and prefix-window are equivalent for nonnegative trace]\label{lem:R1_tailwindow_prefix_equiv}"
"3223","theorem","thm:R1_rank1_tailwindow_principle","\begin{theorem}[Independent closure from a prefix-mass principle]\label{thm:R1_rank1_tailwindow_principle}"
"3253","proposition","prop:R1_uniform_ellipticity_finite_mass","\begin{proposition}[Uniform-ellipticity branch closes R1 without CS2]\label{prop:R1_uniform_ellipticity_finite_mass}"
"3317","corollary","cor:R1_uniform_ellipticity_collapse","\begin{corollary}[Mass divergence implies collapse under uniform ellipticity]\label{cor:R1_uniform_ellipticity_collapse}"
"3334","remark","rem:R1_two_routes_cs2","\begin{remark}[Two internal routes to CS2 from tail-window bounds]\label{rem:R1_two_routes_cs2}"
"3347","proposition","prop:R1_CS2_structured_linear","\begin{proposition}[Structured CS2 closure with explicit polynomial bound]\label{prop:R1_CS2_structured_linear}"
"3384","corollary","cor:R1_CS2_structured_lagrangian_line","\begin{corollary}[Structured CS2 via one Lagrangian direction per subsequence window]\label{cor:R1_CS2_structured_lagrangian_line}"
"3411","proposition","prop:R1_prefix_mass_collinear_visible","\begin{proposition}[Prefix-mass bound from collinear windows]\label{prop:R1_prefix_mass_collinear_visible}"
"3510","corollary","cor:R1_collapse_collinear_visible","\begin{corollary}[Collapse from collinear windows]\label{cor:R1_collapse_collinear_visible}"
"3530","lemma","lem:R1_collinear_from_rank1_aggregate","\begin{lemma}[Collinearity from rank-one aggregate windows]\label{lem:R1_collinear_from_rank1_aggregate}"
"3560","corollary","cor:R1_prefix_mass_from_rank1_aggregate","\begin{corollary}[Prefix-mass bound from rank-one aggregate windows]\label{cor:R1_prefix_mass_from_rank1_aggregate}"
"3587","corollary","cor:R1_collapse_rank1_aggregate","\begin{corollary}[Collapse from rank-one aggregate windows]\label{cor:R1_collapse_rank1_aggregate}"
"3610","lemma","lem:R1_rank1_aggregate_det_equiv","\begin{lemma}[Rank-one aggregate criterion via determinant]\label{lem:R1_rank1_aggregate_det_equiv}"
"3625","lemma","lem:R1_rank1_aggregate_det_expansion","\begin{lemma}[Determinant expansion for rank-one aggregate windows]\label{lem:R1_rank1_aggregate_det_expansion}"
"3661","lemma","lem:R1_atomic_aggregate_det_expansion","\begin{lemma}[Atomic determinant expansion for aggregate windows]\label{lem:R1_atomic_aggregate_det_expansion}"
"3684","corollary","cor:R1_det_zero_forces_sympl_orth_pairs","\begin{corollary}[Zero aggregate determinant forces vanishing pairwise symplectic couplings]\label{cor:R1_det_zero_forces_sympl_orth_pairs}"
"3698","corollary","cor:R1_collapse_det_zero_aggregate","\begin{corollary}[Collapse from zero-determinant aggregate windows]\label{cor:R1_collapse_det_zero_aggregate}"
"3721","lemma","lem:R1_sympl_orth_collinear_equiv","\begin{lemma}[Symplectic orthogonality is equivalent to one-direction windows in \texorpdfstring{$\R^2$}{R2}]\label{lem:R1_sympl_orth_collinear_equiv}"
"3739","proposition","prop:R1_radiusfloor_closure","\begin{proposition}[Radius-floor closure from the target mass-divergence theorem]\label{prop:R1_radiusfloor_closure}"
"3765","proposition","prop:R1_CS2_on_radiusfloor_target","\begin{proposition}[CS2 on radius-floor subsequences (closed target)]\label{prop:R1_CS2_on_radiusfloor_target}"
"3786","proposition","prop:R1_CS2_from_finite_total_mass","\begin{proposition}[CS2 from finite total mass]\label{prop:R1_CS2_from_finite_total_mass}"
"3866","proposition","prop:R1_CS2_collinear_windows","\begin{proposition}[CS2 from collinear windows]\label{prop:R1_CS2_collinear_windows}"
"3905","corollary","cor:R1_CS2_rank1_aggregate","\begin{corollary}[CS2 from rank-one aggregate windows]\label{cor:R1_CS2_rank1_aggregate}"
"3929","corollary","cor:R1_CS2_det_zero_aggregate","\begin{corollary}[CS2 from zero-determinant aggregate windows]\label{cor:R1_CS2_det_zero_aggregate}"
"3949","corollary","cor:R1_CS2_zero_sympl_area_sum","\begin{corollary}[CS2 from vanishing symplectic-area sum on windows]\label{cor:R1_CS2_zero_sympl_area_sum}"
"3978","corollary","cor:R1_CS2_atomic_sympl_orth_windows","\begin{corollary}[CS2 from atomic symplectic orthogonality on windows]\label{cor:R1_CS2_atomic_sympl_orth_windows}"
"4009","proposition","prop:R1_CS2_spd_floor","\begin{proposition}[CS2 from uniform SPD floor on windows]\label{prop:R1_CS2_spd_floor}"
"4069","lemma","lem:R1_frame_ratio_kappa_balance","\begin{lemma}[Pointwise balance between transported-frame coercivity and frame growth]\label{lem:R1_frame_ratio_kappa_balance}"
"4125","proposition","prop:R1_CS2_frame_coercivity_windows","\begin{proposition}[CS2 from transported-frame coercivity on windows]\label{prop:R1_CS2_frame_coercivity_windows}"
"4168","corollary","cor:R1_CS2_failure_forces_vanishing_frame_coercivity","\begin{corollary}[Failure of CS2 on a radius-floor subsequence forces vanishing transported-frame coercivity]\label{cor:R1_CS2_failure_forces_vanishing_frame_coercivity}"
"4197","corollary","cor:R1_CS2_from_maxindex_frame_coercivity","\begin{corollary}[CS2 from transported-frame coercivity at maximal-frame indices]\label{cor:R1_CS2_from_maxindex_frame_coercivity}"
"4237","corollary","cor:R1_CS2_failure_forces_vanishing_maxindex_frame_coercivity","\begin{corollary}[Failure of CS2 forces vanishing maximal-index transported-frame coercivity]\label{cor:R1_CS2_failure_forces_vanishing_maxindex_frame_coercivity}"
"4268","corollary","cor:R1_CS2_failure_forces_vanishing_coercivity","\begin{corollary}[Failure of CS2 on a radius-floor subsequence forces vanishing local coercivity]\label{cor:R1_CS2_failure_forces_vanishing_coercivity}"
"4293","corollary","prop:R1_CS2_uniform_elliptic_tracefloor","\begin{corollary}[CS2 from uniform ellipticity with trace floor on windows]\label{prop:R1_CS2_uniform_elliptic_tracefloor}"
"4318","corollary","cor:R1_CS2_detfloor_tracecap","\begin{corollary}[CS2 from determinant floor and trace cap on windows]\label{cor:R1_CS2_detfloor_tracecap}"
"4352","corollary","cor:R1_CS2_invtracecap","\begin{corollary}[CS2 from inverse-trace cap on windows]\label{cor:R1_CS2_invtracecap}"
"4384","corollary","cor:R1_collapse_atomic_sympl_orth","\begin{corollary}[Collapse from atomic symplectic orthogonality windows]\label{cor:R1_collapse_atomic_sympl_orth}"
"4409","corollary","cor:R1_collapse_spd_floor","\begin{corollary}[Direct collapse from global uniform SPD floor]\label{cor:R1_collapse_spd_floor}"
"4430","corollary","cor:R1_collapse_uniform_elliptic_tracefloor","\begin{corollary}[Direct collapse from global uniform ellipticity with trace floor]\label{cor:R1_collapse_uniform_elliptic_tracefloor}"
"4452","corollary","cor:R1_collapse_invtracecap","\begin{corollary}[Direct collapse from global inverse-trace cap]\label{cor:R1_collapse_invtracecap}"
"4477","corollary","cor:R1_collapse_detfloor_tracecap","\begin{corollary}[Direct collapse from global determinant floor and trace cap]\label{cor:R1_collapse_detfloor_tracecap}"
"4506","remark","rem:v31_reduction_map","\begin{remark}[Reduction map for v3.1 self-contained closure]\label{rem:v31_reduction_map}"
"4548","remark","rem:v31_final_bridge_objective","\begin{remark}[Final bridge objective (resolved in v3.1)]\label{rem:v31_final_bridge_objective}"
"4568","remark","rem:v31_fkrs_pruned","\begin{remark}[Pruning of deleted FKRS branch in v3.1]\label{rem:v31_fkrs_pruned}"
"4578","theorem","thm:R1_mass_divergence_internal","\begin{theorem}[Mass-divergence criterion for radius collapse]\label{thm:R1_mass_divergence_internal}"
"4602","corollary","cor:R1_rank1_closure_hyp_reform","\begin{corollary}[Rank-one reformulation on radius-floor subsequences]\label{cor:R1_rank1_closure_hyp_reform}"
"4633","theorem","prop:R1_classical_mass","\begin{theorem}[Mass-divergence criterion for canonical systems (self-contained target)]\label{prop:R1_classical_mass}"
"4644","remark","","\begin{remark}[Status of Theorem~\ref{prop:R1_classical_mass} in v3.1]"
"4651","proposition","prop:R1_classical_mass_applicability","\begin{proposition}[Applicability of Theorem~\ref{prop:R1_classical_mass} to the present chain]\label{prop:R1_classical_mass_applicability}"
"4672","theorem","thm:R1-limit-point","\begin{theorem}[Limit-point and Weyl disk collapse]\label{thm:R1-limit-point}"
"4727","lemma","lem:trace-lower-bound","\begin{lemma}[Automatic divergence for Schur--Hamiltonian blocks]\label{lem:trace-lower-bound}"
"4764","lemma","lem:PGL-cross","\begin{lemma}[Cross-cancellation test in \texorpdfstring{$\mathrm{PGL}(2,\C)$}{PGL(2,C)}]\label{lem:PGL-cross}"
"4838","theorem","thm:R2_dynamic_equilibrium","\begin{theorem}[Dynamic equilibrium normal form]\label{thm:R2_dynamic_equilibrium}"
"4923","lemma","lem:r_to_1_schur_limit","\begin{lemma}[Limit passage for a Schur family as $r\uparrow 1$]"
"4968","remark","rem:r_to_1_closed","\begin{remark}[Status of the $r\\uparrow 1$ passage]\label{rem:r_to_1_closed}"
"4982","lemma","lem:H_infty_pinning","\begin{lemma}[Stirling pinning for $H$]\label{lem:H_infty_pinning}"
"5017","corollary","cor:W_infty_limit","\begin{corollary}[Limit and rate for $W$]\label{cor:W_infty_limit}"
"5054","lemma","lem:independent_inequality","\begin{lemma}[Pointwise nonnegativity and rigidity]\label{lem:independent_inequality}"
"5094","definition","def:gyro_disk_add","\begin{definition}[Disk translations, M\""obius addition, and rotations]\label{def:gyro_disk_add}"
"5106","lemma","lem:gyro_gyration","\begin{lemma}[Gyroassociativity and the gyration phase]\label{lem:gyro_gyration}"
"5131","lemma","lem:gyro_angle_series","\begin{lemma}[Gyration angle: exact series and a tail bound]\label{lem:gyro_angle_series}"
"5168","lemma","lem:gyro_tail_convergence","\begin{lemma}[Tail convergence of the cumulative gyration phase at fixed $r<1$]\label{lem:gyro_tail_convergence}"
"5207","lemma","lem:R0_jet_pinning","\begin{lemma}[Uniqueness and explicit formula for $R_0$ from a $1$-jet]\label{lem:R0_jet_pinning}"
"5241","corollary","cor:R0_jet_schur_form","\begin{corollary}[Schur-parameter form of the $1$-jet calibration]\label{cor:R0_jet_schur_form}"
"5439","lemma","lem:chol-cert","\begin{lemma}[Residual-based PSD certification]"
"5733","lemma","lem:vertical_convolution","\begin{lemma}[Vertical convolution identity]\label{lem:vertical_convolution}"
"5765","lemma","lem:gaussian_normalization_nonzero","\begin{lemma}[Well-defined Gaussian normalization]\label{lem:gaussian_normalization_nonzero}"
"5817","lemma","lem:Xi_alpha_to_Xi","\begin{lemma}[Uniform transfer $\Xi_\alpha\to\Xi$]\label{lem:Xi_alpha_to_Xi}"
"5856","lemma","lem:weyl_is_herglotz","\begin{lemma}[Weyl $m$ is Herglotz]\label{lem:weyl_is_herglotz}"
"5904","lemma","lem:selfadjoint_compact","\begin{lemma}[Self-adjointness and compact resolvent]\label{lem:selfadjoint_compact}"
"5928","lemma","lem:stieltjes_diffquot","\begin{lemma}[Stieltjes difference-quotient formula]\label{lem:stieltjes_diffquot}"
"5955","proposition","inp:calib_arith_stieltjes","\begin{proposition}[Arithmetic Stieltjes model]\label{inp:calib_arith_stieltjes}"
"5969","lemma","lem:m_arith_chart_derivative","\begin{lemma}[Arithmetic quotient derivative on the local chart]\label{lem:m_arith_chart_derivative}"
"5991","lemma","lem:local_green_bridge_identity","\begin{lemma}[Local Green bridge identity in quotient coordinates]\label{lem:local_green_bridge_identity}"
"6040","proposition","inp:calib_kernel_match","\begin{proposition}[Local boundary Green matching]\label{inp:calib_kernel_match}"
"6066","remark","rem:calibration_input_source","\begin{remark}[Source of calibration inputs]\label{rem:calibration_input_source}"
"6081","lemma","lem:pick_kernel_two_sides","\begin{lemma}[Pick kernels from the two Stieltjes models]\label{lem:pick_kernel_two_sides}"
"6140","lemma","lem:weyl_derivative_resolvent_square","\begin{lemma}[Resolvent-square formula for the Weyl derivative]\label{lem:weyl_derivative_resolvent_square}"
"6181","lemma","lem:local_diffquot_constant_gap","\begin{lemma}[Local derivative equality implies global constant gap]\label{lem:local_diffquot_constant_gap}"
"6197","lemma","lem:local_derivative_anchor_equal","\begin{lemma}[Local derivative matching plus one anchor value]\label{lem:local_derivative_anchor_equal}"
"6216","proposition","prop:pick_kernel_equal","\begin{proposition}[Calibrated equality of Weyl functions and Pick kernels]\label{prop:pick_kernel_equal}"
"6286","theorem","thm:weyl_calibration","\begin{theorem}[Weyl calibration and Hermite--Biehler property]\label{thm:weyl_calibration}"
"6344","corollary","cor:measure_identity_from_m","\begin{corollary}[Measure identity from calibrated Weyl equality]\label{cor:measure_identity_from_m}"
"6383","lemma","lem:hurwitz_rect_transfer","\begin{lemma}[Hurwitz transfer on a zero-free boundary rectangle]\label{lem:hurwitz_rect_transfer}"
"6403","theorem","thm:RH_from_anchor","\begin{theorem}[Riemann Hypothesis and the passivity anchor]\label{thm:RH_from_anchor}"
"6450","lemma","lem:alpha_k1_exact","\begin{lemma}[Exact one-line update for $\alpha_{k+1}$]\label{lem:alpha_k1_exact}"
"6466","lemma","lem:bk1_exact","\begin{lemma}[First derivative update]\label{lem:bk1_exact}"
"6484","definition","def:trigger_indices","\begin{definition}[Observed blow-up index and trigger index]\label{def:trigger_indices}"
"6496","remark","","\begin{remark}[Why small $\rho_k^2$ is the amplification trigger]"
"6505","remark","","\begin{remark}[Two-step bounce-back scaling]"
"6512","remark","","\begin{remark}[Leakage and near-singularity of Toeplitz data]"
